fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,中概互联,1,1.795,1.79,2148,1200,1.875,1.88,1200,1100,2256,108,-85.5,100,1,0
,小网,中概互联,0.95,1.706,1.701,2211.3,1300,1.786,1.791,1300,1200,2328.3,117,-68.1,100,1,0
,小网,中概互联,0.9,1.617,1.612,2256.8,1400,1.697,1.702,1400,1300,2382.8,126,-50.7,100,1,0
,小网,中概互联,0.85,1.528,1.523,2436.8,1600,1.608,1.613,1600,1500,2580.8,144,-24.8,100,1,0
,小网,中概互联,0.8,1.439,1.434,2437.8,1700,1.519,1.524,1700,1600,2590.8,153,-7.4,100,1,0
,小网,中概互联,0.75,1.35,1.345,2555.5,1900,1.43,1.435,1900,1800,2726.5,171,18.5,100,1,0
,小网,中概互联,0.7,1.261,1.256,2637.6,2100,1.341,1.346,2100,2000,2826.6,189,44.4,100,1,0
,小网,中概互联,0.65,1.172,1.167,2800.8,2400,1.252,1.257,2400,2300,3016.8,216,78.8,100,1,0
,小网,中概互联,0.6,1.083,1.078,3018.4,2800,1.163,1.168,2800,2700,3270.4,252,121.7,100,1,0
,小网,中概互联,0.55,0.994,0.989,3164.8,3200,1.074,1.079,3200,3100,3452.8,288,164.6,100,1,0
